"Type","Price information classification","Area","City,Town,Ward,Village code","Prefecture","City,Town,Ward,Village","District","Nearest station : Name","Nearest station : Distance","Total transaction value","Area(‡u)","Land : Price per m2","Land : Shape","Frontage","Building : Total floor area","Building : Construction year","Building : Structure","Use","Purpose of use","Frontage road : Direction","Frontage road : Width","Frontage road : Type","City planning","Building coverage ratio","Floor area ratio","Transaction timing","Transaction factors"
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Higashigaoka","Toritsu Daigaku",20,150000000,90,"","","",100,"2020","W","","","West","","Public Road","1 Exc Low",60,150,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Higashigaoka","Komazawa Daigaku",10,84000000,60,"","","",90,"1997","W","","","Southeast",4.5,"Private Road","1 Exc Med",60,180,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Midorigaoka","Jiyugaoka(Tokyo)",10,380000000,240,"","","",370,"1989","RC","","","West",5.2,"Public Road","1 Exc Low",60,150,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Midorigaoka","Midorigaoka(Tokyo)",5,150000000,130,"","","",230,"2003","LS","","","South",4,"Public Road","1 Exc Med",60,200,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Midorigaoka","Midorigaoka(Tokyo)",10,120000000,90,"","","",90,"2021","W","","","",3.9,"Public Road","1 Exc Low",50,100,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Minami","Ookayama",10,110000000,100,"","","",90,"2001","W","","","Southeast",6.1,"Public Road","2 Res",60,240,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Minami","Senzoku",10,120000000,110,"","","",125,"2012","W","","","","","","1 Exc Low",60,150,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Minami","Senzoku",15,140000000,185,"","","",110,"1997","W","","","East",3.2,"Private Road","1 Exc Low",60,150,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Yakumo","Toritsu Daigaku",15,360000000,235,"","","",360,"2007","W","","","South",4,"Public Road","1 Exc Low",50,100,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Komaba","Komaba Todaimae",5,120000000,75,"","","",100,"2016","W","","","East",4,"Private Road","1 Exc Med",60,200,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Komaba","Yoyogi Uehara",15,520000000,230,"","","",200,"1989","W","","","East",7,"Public Road","1 Exc Low",50,100,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Nakacho","Gakugei Daigaku",15,140000000,75,"","","",130,"2019","W","","","Northeast",3.7,"Public Road","1 Res",60,200,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Nakameguro","Naka Meguro",15,160000000,65,"","","",120,"2025","W","","","Northwest",4.5,"Private Road","1 Exc Med",60,180,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Higashiyama","Ikejiri Ohashi",10,170000000,70,"","","",105,"2009","W","","","West",4.2,"Public Road","1 Res",80,200,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Higashiyama","Naka Meguro",15,9000000,35,"","","",45,"","W","","","",2.7,"Public Road","Neighborhood Comm",80,200,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Minami","Senzoku",15,120000000,60,"","","",145,"2003","W","","","","","Public Road","1 Exc Med",60,200,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Yakumo","Toritsu Daigaku",15,230000000,115,"","","",190,"2000","W","","","East",5.4,"Public Road","1 Exc Low",50,100,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Yakumo","Toritsu Daigaku",5,200000000,110,"","","",165,"2019","S","","","East",4,"Public Road","1 Res",60,200,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Yuutenji","Yutenji",5,100000000,75,"","","",75,"1973","W","","","Southeast",3.6,"Public Road","1 Exc Low",60,150,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Meguro","Meguro",15,30000000,70,"","","",65,"before the war","W","","","North",4,"Public Road","1 Exc Low",60,150,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Meguro","Meguro",20,170000000,100,"","","",145,"1986","RC","","","West",2.4,"Private Road","1 Exc Med",60,160,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Meguro","Meguro",15,110000000,70,"","","",85,"2012","W","","","","","","1 Exc Low",60,150,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Meguro","Yutenji",20,130000000,85,"","","",105,"1997","W","","","","","Public Road","1 Exc Low",60,150,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Meguro","Meguro",15,130000000,75,"","","",100,"2009","W","","","Southwest",7.1,"Public Road","1 Res",60,284,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Meguro","Yutenji",15,110000000,90,"","","",100,"1989","W","","","Southeast",3.7,"Private Road","1 Exc Low",60,150,"3rd quarter 2025",""
"Residential Land(Land Only)","Real Estate Transaction Price Information","Residential Area","13110","Tokyo","Meguro Ward","Aobadai","Ikejiri Ohashi",9,200000000,95,2100000,"Rectangular Shaped",8,"","","","","House","East",3.5,"Ward Road","1 Res",60,300,"2nd quarter 2025",""
"Residential Land(Land Only)","Real Estate Transaction Price Information","Residential Area","13110","Tokyo","Meguro Ward","Aobadai","Ikejiri Ohashi",9,220000000,110,2000000,"Rectangular Shaped",9,"","","","","House","East",3.4,"Ward Road","1 Res",60,300,"2nd quarter 2025",""
"Residential Land(Land Only)","Real Estate Transaction Price Information","Residential Area","13110","Tokyo","Meguro Ward","Aobadai","Ikejiri Ohashi",10,530000000,220,2400000,"Semi-rectangular Shaped",9,"","","","","Other","East",7.2,"Ward Road","1 Res",60,300,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13110","Tokyo","Meguro Ward","Aobadai","Daikan yama",11,410000000,250,"","Semi-trapezoidal Shaped",13.9,220,"1984","","","House","Southwest",5.5,"Ward Road","1 Exc Low",50,100,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13110","Tokyo","Meguro Ward","Aobadai","Naka Meguro",11,720000000,190,"","Semi-rectangular Shaped",10,310,"1970","RC","House, Office","Office","North",5.5,"Ward Road","1 Exc Low",60,150,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13110","Tokyo","Meguro Ward","Ookayama","Ookayama",8,210000000,115,"","Semi-rectangular Shaped",12,135,"2025","W","House","House","South",4.7,"Ward Road","1 Exc Med",60,200,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13110","Tokyo","Meguro Ward","Ookayama","Ookayama",9,94000000,55,"","Semi-rectangular Shaped",5.5,80,"2019","W","House","House","North",3.3,"Ward Road","1 Exc Low",60,150,"1st quarter 2025",""
"Residential Land(Land Only)","Real Estate Transaction Price Information","Residential Area","13110","Tokyo","Meguro Ward","Ookayama","Ookayama",7,280000000,240,1200000,"Irregular Shaped",18,"","","","","House","East",4,"Ward Road","1 Exc Low",60,150,"1st quarter 2025",""
"Residential Land(Land Only)","Real Estate Transaction Price Information","Residential Area","13110","Tokyo","Meguro Ward","Ookayama","Ookayama",9,110000000,140,810000,"Trapezoidal Shaped",10.7,"","","","","House","East",4,"Private Road","1 Exc Low",60,80,"1st quarter 2025",""
"Residential Land(Land Only)","Real Estate Transaction Price Information","Residential Area","13110","Tokyo","Meguro Ward","Ookayama","Ookayama",5,150000000,155,990000,"Rectangular Shaped",10,"","","","","House","West",5.2,"Ward Road","1 Exc Low",60,150,"4th quarter 2024","Dealings including private road"
"Residential Land(Land Only)","Real Estate Transaction Price Information","Residential Area","13110","Tokyo","Meguro Ward","Ookayama","Ookayama",5,140000000,125,1100000,"Semi-rectangular Shaped",9,"","","","","House","North",5.3,"Ward Road","1 Exc Low",60,150,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13110","Tokyo","Meguro Ward","Ookayama","Ookayama",9,160000000,120,"","Rectangular Shaped",13,90,"1958","W","House","House","West",7.9,"Ward Road","1 Exc Med",60,200,"4th quarter 2024","Dealings including private road"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13110","Tokyo","Meguro Ward","Ookayama","Toritsu Daigaku",12,140000000,115,"","Semi-rectangular Shaped",6.8,210,"1994","W","House","House","West",4,"Private Road","1 Exc Low",60,150,"1st quarter 2025",""
"Residential Land(Land Only)","Real Estate Transaction Price Information","Residential Area","13110","Tokyo","Meguro Ward","Ookayama","Midorigaoka(Tokyo)",4,69000000,90,750000,"Rectangular Shaped","","","","","","House","South",1.7,"Private Road","1 Exc Med",60,200,"4th quarter 2024",""
"Residential Land(Land Only)","Real Estate Transaction Price Information","Residential Area","13110","Tokyo","Meguro Ward","Kakinokizaka","Komazawa Daigaku",15,240000000,250,960000,"Rectangular Shaped",11,"","","","","House","Southeast",4,"Private Road","1 Exc Low",60,150,"1st quarter 2025","Dealings including private road"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13110","Tokyo","Meguro Ward","Kakinokizaka","Komazawa Daigaku",16,190000000,130,"","Semi-rectangular Shaped",7.7,180,"2019","RC, W","House","House","Southwest",5.4,"Ward Road","1 Exc Low",60,150,"4th quarter 2024","Dealings including private road"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13110","Tokyo","Meguro Ward","Kakinokizaka","Toritsu Daigaku",3,820000000,220,"","Semi-rectangular Shaped",10,490,"2024","RC","Housing Complex","House","West",5.5,"Ward Road","1 Exc Med",60,200,"1st quarter 2025",""
"Residential Land(Land Only)","Real Estate Transaction Price Information","Residential Area","13110","Tokyo","Meguro Ward","Kakinokizaka","Toritsu Daigaku",10,110000000,105,1100000,"Semi-rectangular Shaped",5.9,"","","","","","North",8.8,"Ward Road","1 Exc Low",60,150,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13110","Tokyo","Meguro Ward","Kakinokizaka","Toritsu Daigaku",10,210000000,145,"","Rectangular Shaped",9,135,"2012","W","House","House","South",5.3,"Ward Road","1 Exc Low",50,100,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13110","Tokyo","Meguro Ward","Kakinokizaka","Toritsu Daigaku",10,190000000,120,"","Semi-rectangular Shaped",10,115,"2017","LS","House","House","Southeast",5.2,"Ward Road","1 Exc Low",50,100,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13110","Tokyo","Meguro Ward","Kakinokizaka","Toritsu Daigaku",5,120000000,90,"","Irregular Shaped",9.3,95,"2020","W","House","House","West",3,"Private Road","1 Exc Low",60,150,"4th quarter 2024","Dealings including private road"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13110","Tokyo","Meguro Ward","Kamimeguro","Naka Meguro",5,740000000,240,"","Semi-shaped",9,290,"1997","W","House","House","Northeast",5.3,"Ward Road","1 Exc Low",60,150,"2nd quarter 2025",""
"Residential Land(Land Only)","Real Estate Transaction Price Information","Residential Area","13110","Tokyo","Meguro Ward","Kamimeguro","Naka Meguro",3,190000000,70,2800000,"Rectangular Shaped",10.2,"","","","","House","Southwest",3.8,"Private Road","2 Res",60,300,"2nd quarter 2025","Dealings including private road"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13110","Tokyo","Meguro Ward","Kamimeguro","Naka Meguro",13,200000000,95,"","Irregular Shaped",5.4,130,"2025","W","House","House","East",4,"Ward Road","1 Exc Low",60,150,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area","13110","Tokyo","Meguro Ward","Kamimeguro","Naka Meguro",7,240000000,135,"","Rectangular Shaped",9.6,410,"1985","RC","House, Shop","Other","Northwest",7.2,"Ward Road","Commerical",80,400,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13110","Tokyo","Meguro Ward","Kamimeguro","Yutenji",6,68000000,45,"","Irregular Shaped",5,120,"1988","RC","House","House","Northwest",3.5,"Ward Road","1 Exc Low",60,150,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13110","Tokyo","Meguro Ward","Kamimeguro","Yutenji",8,160000000,105,"","Semi-shaped",7.1,125,"1995","W","House","","Southwest",4,"Ward Road","1 Exc Low",60,150,"1st quarter 2025","Dealings including private road"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13110","Tokyo","Meguro Ward","Kamimeguro","Yutenji",4,160000000,75,"","Rectangular Shaped",5.8,105,"2025","W","House","House","North",3,"Private Road","1 Exc Low",60,150,"1st quarter 2025",""
"Residential Land(Land Only)","Real Estate Transaction Price Information","Residential Area","13110","Tokyo","Meguro Ward","Kamimeguro","Yutenji",8,300000000,330,910000,"Irregular Shaped","","","","","","House","West",4,"Ward Road","1 Exc Low",60,150,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13110","Tokyo","Meguro Ward","Kamimeguro","Yutenji",5,120000000,85,"","Semi-trapezoidal Shaped",8,95,"1998","W","House","House","Southeast",4,"Ward Road","1 Exc Low",60,150,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13110","Tokyo","Meguro Ward","Gohongi","Gakugei Daigaku",6,180000000,120,"","Rectangular Shaped",8.5,180,"1988","S","Housing Complex","House","North",6,"Ward Road","1 Exc Low",60,150,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area","13110","Tokyo","Meguro Ward","Gohongi","Gakugei Daigaku",6,80000000,50,"","Semi-rectangular Shaped",5.9,155,"1991","S","House, Shop","","West",20,"Tokyo Metropolitan Road","Neighborhood Comm",80,300,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13110","Tokyo","Meguro Ward","Gohongi","Gakugei Daigaku",8,130000000,125,"","Irregular Shaped","",115,"2016","W","Housing Complex","House","East",2.4,"Private Road","1 Exc Med",60,200,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13110","Tokyo","Meguro Ward","Gohongi","Gakugei Daigaku",9,210000000,130,"","Rectangular Shaped",8,195,"1990","RC","Housing Complex","House","East",4,"Ward Road","1 Exc Low",60,150,"4th quarter 2024",""
