"Type","Price.information.classification","Area","City.Town.Ward.Village.code","Prefecture","City.Town.Ward.Village","District","Nearest.station...Name","Nearest.station...Distance","Total.transaction.value","Area...","Land...Price.per.m2","Land...Shape","Frontage","Building...Total.floor.area","Building...Construction.year","Building...Structure","Use","Purpose.of.use","Frontage.road...Direction","Frontage.road...Width","Frontage.road...Type","City.planning","Building.coverage.ratio","Floor.area.ratio","Transaction.timing","Transaction.factors"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13117,"Tokyo","Kita Ward","Kamijujo","Jujo(Tokyo)","3",1.1e+07,"45",NA,"Rectangular Shaped","7","","","","","House","Northwest",3.9,"Private Road","1 Res",60,200,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13117,"Tokyo","Kita Ward","Kamijujo","Jujo(Tokyo)","10",7.6e+07,"65",NA,"Semi-rectangular Shaped","5.4","95","2025","W","House","House","East",3.5,"Ward Road","1 Res",60,200,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13117,"Tokyo","Kita Ward","Kamijujo","Jujo(Tokyo)","12",5e+07,"50",NA,"Rectangular Shaped","9","75","2003","W","House","House","Northwest",3.5,"Ward Road","1 Exc Med",60,150,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13117,"Tokyo","Kita Ward","Kaminakazato","Kajiwara","2",1.8e+08,"85",NA,"Rectangular Shaped","6.8","200","2025","RC","Housing Complex","Other","Southwest",4,"Ward Road","Commerical",80,500,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13117,"Tokyo","Kita Ward","Kaminakazato","Kajiwara","2",7.2e+07,"50",NA,"Semi-rectangular Shaped","4.5","70","2023","W","House","Other","Southeast",6,"Ward Road","Neighborhood Comm",80,300,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13117,"Tokyo","Kita Ward","Kaminakazato","Kami Nakazato","6",5.8e+07,"70",NA,"Trapezoidal Shaped","10","110","1994","S","Housing Complex","Other","North",2.9,"Ward Road","Quasi-Ind",60,200,"3rd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13117,"Tokyo","Kita Ward","Kaminakazato","Kami Nakazato","3",6.2e+07,"60",NA,"Irregular Shaped","4.1","100","2025","W","House","House","Southeast",4,"Ward Road","Neighborhood Comm",60,300,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13117,"Tokyo","Kita Ward","Kaminakazato","Kami Nakazato","4",4.9e+07,"45",NA,"Rectangular Shaped","5.2","65","2025","W","House","House","Northwest",3.2,"Private Road","Quasi-Ind",60,200,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13117,"Tokyo","Kita Ward","Kaminakazato","Kami Nakazato","6",1.1e+08,"230",NA,"Semi-rectangular Shaped","9.1","360","1988","SRC","House","House","Northeast",3.9,"Ward Road","1 Exc Med",60,150,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13117,"Tokyo","Kita Ward","Kaminakazato","Kami Nakazato","5",6.5e+07,"65",NA,"Irregular Shaped","2.5","90","2024","W","House","House","Northeast",4.7,"Ward Road","Neighborhood Comm",80,300,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13117,"Tokyo","Kita Ward","Kaminakazato","Kami Nakazato","4",3.4e+07,"40",NA,"Rectangular Shaped","3","55","2009","W","House","","Northwest",4,"Private Road","Quasi-Ind",60,300,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13117,"Tokyo","Kita Ward","Kaminakazato","Kami Nakazato","4",1.4e+08,"150",NA,"Semi-rectangular Shaped","","130","2024","W","Housing Complex","House","Southwest",4,"Private Road","Quasi-Ind",60,200,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13117,"Tokyo","Kita Ward","Kaminakazato","Kami Nakazato","4",5.8e+07,"50",NA,"Semi-rectangular Shaped","4.4","85","2022","W","House","House","West",4.5,"Private Road","Neighborhood Comm",80,300,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13117,"Tokyo","Kita Ward","Kaminakazato","Kami Nakazato","7",2.7e+07,"75",NA,"Semi-shaped","5.8","85","","W","House","House","Northwest",1.7,"Private Road","1 Exc Med",60,150,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13117,"Tokyo","Kita Ward","Kaminakazato","Kami Nakazato","4",2.4e+07,"60",NA,"Rectangular Shaped","3.6","70","1968","W","House, Workshop","House","Southeast",2,"Private Road","Quasi-Ind",60,200,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13117,"Tokyo","Kita Ward","Kaminakazato","Kami Nakazato","4",1.4e+08,"150",NA,"Rectangular Shaped","","120","2024","W","Housing Complex","House","Southwest",4,"Private Road","Quasi-Ind",60,200,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13117,"Tokyo","Kita Ward","Kamiya","Oji Kamiya","5",8e+07,"135",NA,"Semi-square Shaped","11.2","200","2002","W","","House","South",4,"Ward Road","Quasi-Ind",60,300,"1st quarter 2025","Dealings including private road"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13117,"Tokyo","Kita Ward","Kamiya","Oji Kamiya","5",6.1e+07,"50",NA,"Semi-rectangular Shaped","4.5","80","2024","W","House","House","South",3.3,"Private Road","1 Res",60,200,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13117,"Tokyo","Kita Ward","Kamiya","Oji Kamiya","5",6.1e+07,"50",NA,"Semi-trapezoidal Shaped","4.9","75","2024","W","House","House","South",3.2,"Private Road","1 Res",60,200,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13117,"Tokyo","Kita Ward","Kamiya","Oji Kamiya","7",2.1e+07,"45",NA,"Semi-rectangular Shaped","4.9","50","","W","House","House","North",3.3,"Ward Road","Quasi-Ind",60,200,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13117,"Tokyo","Kita Ward","Kamiya","Higashi Jujo","11",8.7e+07,"95",NA,"Semi-rectangular Shaped","5.5","105","2025","W","House","House","South",4,"Ward Road","1 Res",60,200,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13117,"Tokyo","Kita Ward","Kamiya","Higashi Jujo","11",8.4e+07,"65",NA,"Rectangular Shaped","7","105","2025","W","House","House","West",11,"Ward Road","1 Res",60,200,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13117,"Tokyo","Kita Ward","Kamiya","Higashi Jujo","10",2.2e+07,"80",NA,"Rectangular Shaped","5","50","1960","W","House","House","West",3,"Private Road","1 Res",60,200,"2nd quarter 2025","Dealings including private road"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13117,"Tokyo","Kita Ward","Kamiya","Higashi Jujo","11",8e+07,"70",NA,"Rectangular Shaped","7","105","2025","W","House","House","West",11,"Ward Road","1 Res",60,200,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13117,"Tokyo","Kita Ward","Kishimachi","Oji(Tokyo)","2",8e+07,"45",NA,"Semi-rectangular Shaped","4.5","150","1970","S","House, Shop","Shop","Northeast",7,"Ward Road","Commerical",80,400,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13117,"Tokyo","Kita Ward","Kishimachi","Higashi Jujo","9",1.9e+08,"180",NA,"Rectangular Shaped","16.4","250","2021","RC","Housing Complex","House","Northeast",2.7,"Private Road","1 Exc Med",60,150,"1st quarter 2025","Dealings including private road"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13117,"Tokyo","Kita Ward","Sakaecho","Sakaecho(Tokyo)","1",6.2e+07,"50",NA,"Semi-rectangular Shaped","4.5","90","","W","","House","West",4,"Private Road","Quasi-Ind",60,200,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13117,"Tokyo","Kita Ward","Shimo","Akabane Iwabuchi","9",5e+06,"40",NA,"Rectangular Shaped","4","50","1978","W","House","House","North",4.5,"Ward Road","1 Exc Med",60,200,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13117,"Tokyo","Kita Ward","Shimo","Akabane Iwabuchi","7",3.2e+07,"50",NA,"Semi-rectangular Shaped","5.5","65","1976","W","House","House","East",4.2,"Private Road","1 Res",60,200,"1st quarter 2025","Dealings including private road"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13117,"Tokyo","Kita Ward","Shimo","Shimo","5",9.1e+07,"65",NA,"Semi-rectangular Shaped","5","100","2025","W","House","House","Southwest",4,"Private Road","Quasi-Ind",60,200,"3rd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13117,"Tokyo","Kita Ward","Shimo","Shimo","7",6.9e+07,"70",NA,"Trapezoidal Shaped","7.5","100","2024","W","House","House","Northeast",4,"Private Road","1 Exc Med",60,200,"1st quarter 2025","Dealings including private road"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13117,"Tokyo","Kita Ward","Shimo","Shimo","3",6.5e+07,"60",NA,"Rectangular Shaped","6","85","2024","W","House","House","South",4,"Ward Road","1 Exc Med",60,200,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13117,"Tokyo","Kita Ward","Shimo","Shimo","6",6.4e+07,"70",NA,"Semi-rectangular Shaped","6.5","95","2024","W","House","House","North",4,"Private Road","1 Exc Med",60,200,"1st quarter 2025","Dealings including private road"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13117,"Tokyo","Kita Ward","Shimo","Shimo","7",1.6e+08,"145",NA,"Semi-rectangular Shaped","8","135","2021","S","Housing Complex","House","Northeast",6,"Ward Road","1 Exc Med",60,200,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13117,"Tokyo","Kita Ward","Jujonakahara","Jujo(Tokyo)","5",2e+07,"35",NA,"Semi-trapezoidal Shaped","5.4","45","1959","W","House","House","East",3.1,"Private Road","1 Res",60,200,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13117,"Tokyo","Kita Ward","Jujonakahara","Higashi Jujo","13",4e+07,"210",NA,"Semi-trapezoidal Shaped","20","115","1964","W","Housing Complex","House","Southeast",2.5,"Private Road","1 Exc Med",60,150,"3rd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13117,"Tokyo","Kita Ward","Jujonakahara","Higashi Jujo","11",5.8e+07,"70",NA,"Rectangular Shaped","6.5","90","2010","W","House","House","North",4,"Private Road","1 Exc Med",60,150,"2nd quarter 2025","Dealings including private road"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13117,"Tokyo","Kita Ward","Jujonakahara","Higashi Jujo","10",7.1e+07,"55",NA,"Semi-rectangular Shaped","9.5","85","2025","W","House","House","South",5.2,"Ward Road","1 Exc Med",60,150,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13117,"Tokyo","Kita Ward","Jujonakahara","Higashi Jujo","6",1e+08,"95",NA,"Semi-trapezoidal Shaped","12.4","115","2025","W","House","House","North",7.4,"Ward Road","1 Res",60,200,"4th quarter 2024","Dealings including private road"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13117,"Tokyo","Kita Ward","Jujonakahara","Higashi Jujo","10",7e+07,"55",NA,"Semi-rectangular Shaped","9.4","85","2025","W","House","House","South",5.2,"Ward Road","1 Exc Med",60,150,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13117,"Tokyo","Kita Ward","Showamachi","Oku(Tokyo)","2",8e+07,"105",NA,"Rectangular Shaped","8.4","240","1988","S","Housing Complex","Other","Northeast",4.2,"Ward Road","Commerical",80,500,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13117,"Tokyo","Kita Ward","Takinogawa","Asukayama","1",1.7e+08,"60",NA,"Semi-trapezoidal Shaped","8.2","290","2009","S","Housing Complex","House","Northeast",30,"National Road","Commerical",80,500,"3rd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13117,"Tokyo","Kita Ward","Takinogawa","Itabashi","2",5e+07,"40",NA,"Rectangular Shaped","3","110","1974","S","House, Shop","Office","Northwest",14.9,"Ward Road","Commerical",80,500,"3rd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13117,"Tokyo","Kita Ward","Takinogawa","Itabashi","5",8.3e+07,"115",NA,"Rectangular Shaped","12","125","","W","House, Shop","House","Northwest",8.1,"Ward Road","Neighborhood Comm",80,400,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13117,"Tokyo","Kita Ward","Takinogawa","Itabashi","5",1.5e+07,"155",NA,"Semi-rectangular Shaped","9.5","","","","","House","Southeast",4.7,"Ward Road","Neighborhood Comm",80,300,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13117,"Tokyo","Kita Ward","Takinogawa","Itabashi","7",7e+07,"40",NA,"Rectangular Shaped","5.2","85","2024","W","House","","Southwest",2,"Private Road","Quasi-Ind",60,300,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13117,"Tokyo","Kita Ward","Takinogawa","Itabashi","1",3.5e+07,"40",NA,"Semi-rectangular Shaped","3.5","110","1974","S","House, Shop","House","Northwest",15,"Ward Road","Commerical",80,500,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13117,"Tokyo","Kita Ward","Takinogawa","Itabashi","6",6200000,"30",NA,"Rectangular Shaped","3.6","30","1965","W","House","House","Southeast",1.8,"Private Road","1 Res",60,300,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13117,"Tokyo","Kita Ward","Takinogawa","Oji(Tokyo)","12",7.4e+07,"60",NA,"Semi-rectangular Shaped","9","85","2025","W","House","House","North",3.4,"Private Road","1 Exc Med",60,200,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13117,"Tokyo","Kita Ward","Takinogawa","Shin Itabashi","8",8.5e+07,"65",NA,"Rectangular Shaped","5.4","90","2025","W","House","House","South",4,"Ward Road","1 Exc Med",60,150,"3rd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13117,"Tokyo","Kita Ward","Takinogawa","Shin Itabashi","11",4.7e+07,"50",NA,"Semi-rectangular Shaped","5.6","55","2024","W","House","House","North",3.4,"Private Road","1 Exc Med",60,150,"2nd quarter 2025","Dealings including private road"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13117,"Tokyo","Kita Ward","Takinogawa","Shin Itabashi","8",5.2e+07,"60",NA,"Irregular Shaped","2","75","2024","W","House","House","North",3,"Private Road","1 Exc Med",60,150,"4th quarter 2024","Dealings including private road"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13117,"Tokyo","Kita Ward","Takinogawa","Takinogawa Itchome","6",4e+07,"70",NA,"Rectangular Shaped","5.8","70","1978","W","House","House","North",4,"Private Road","1 Exc Med",60,200,"3rd quarter 2025","Dealings including private road"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13117,"Tokyo","Kita Ward","Takinogawa","Takinogawa Itchome","1",2.1e+08,"260",NA,"Semi-rectangular Shaped","5.4","330","2019","S","Housing Complex","House","Southwest",12,"Ward Road","1 Res",60,300,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13117,"Tokyo","Kita Ward","Takinogawa","Takinogawa Itchome","6",1.3e+07,"35",NA,"Rectangular Shaped","4.5","50","","W","House","House","North",2.7,"Private Road","1 Exc Med",60,200,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13117,"Tokyo","Kita Ward","Takinogawa","Nishigahara Yonchome","2",1.9e+08,"200",NA,"Irregular Shaped","12.3","210","2009","","","House","West",2.3,"Private Road","1 Exc Med",60,200,"1st quarter 2025",""
